"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","Season","Season_n","log_area","rain_binary","human","camp","size"
"101","3","4","8","7",91.4,142.4,601.4,10.6,19.8,39,5.4,0,0,"summer",2,0,0,1,0,"small"
"102","3","4","8","2",88.8,147.3,614.5,9,14.4,66,5.4,0,0,"summer",2,0,0,1,0,"small"
"103","2","4","8","2",94.8,108.3,647.1,17,20.1,40,4,0,0,"summer",2,0,0,1,0,"small"
"104","2","4","9","6",92.5,121.1,674.4,8.6,24.1,29,4.5,0,0,"fall",3,0,0,1,0,"small"
"105","2","4","1","6",82.1,3.7,9.3,2.9,5.3,78,3.1,0,0,"winter",4,0,0,0,0,"small"
"106","4","5","3","5",85.9,19.5,57.3,2.8,12.7,52,6.3,0,0,"spring",1,0,0,0,0,"small"
"107","4","5","3","4",91.4,30.7,74.3,7.5,18.2,29,3.1,0,0,"spring",1,0,0,0,0,"small"
"108","4","5","8","7",90.2,99.6,631.2,6.3,21.4,33,3.1,0,0,"summer",2,0,0,1,0,"small"
"109","4","5","9","6",92.5,88,698.6,7.1,20.3,45,3.1,0,0,"fall",3,0,0,1,0,"small"
"110","4","5","9","1",88.6,91.8,709.9,7.1,17.4,56,5.4,0,0,"fall",3,0,0,1,0,"small"
"111","4","4","3","5",85.9,19.5,57.3,2.8,13.7,43,5.8,0,0,"spring",1,0,0,0,0,"small"
"112","3","4","3","5",91.7,33.3,77.5,9,18.8,18,4.5,0,0,"spring",1,0,0,0,0,"small"
"113","3","4","9","7",89.7,90,704.4,4.8,22.8,39,3.6,0,0,"fall",3,0,0,1,0,"small"
"114","3","4","9","1",91.8,78.5,724.3,9.2,18.9,35,2.7,0,0,"fall",3,0,0,1,0,"small"
"115","3","4","3","2",88.1,25.7,67.6,3.8,15.8,27,7.6,0,0,"spring",1,0,0,0,0,"small"
"116","3","5","3","2",88.1,25.7,67.6,3.8,15.5,27,6.3,0,0,"spring",1,0,0,0,0,"small"
"117","3","4","3","6",91.7,35.8,80.8,7.8,11.6,30,6.3,0,0,"spring",1,0,0,0,0,"small"
"118","3","4","3","6",91.7,35.8,80.8,7.8,15.2,27,4.9,0,0,"spring",1,0,0,0,0,"small"
"119","3","4","3","1",90.1,39.7,86.6,6.2,10.6,30,4,0,0,"spring",1,0,0,0,0,"small"
"120","3","4","8","4",93,75.3,466.6,7.7,19.6,36,3.1,0,0,"summer",2,0,0,1,0,"small"
"121","3","4","8","1",91.5,145.4,608.2,10.7,10.3,74,2.2,0,0,"summer",2,0,0,1,0,"small"
"122","3","4","8","1",91.5,145.4,608.2,10.7,17.1,43,5.4,0,0,"summer",2,0,0,1,0,"small"
"123","3","4","9","7",92.4,124.1,680.7,8.5,22.5,42,5.4,0,0,"fall",3,0,0,1,0,"small"
"124","3","4","9","2",84.4,73.4,671.9,3.2,17.9,45,3.1,0,0,"fall",3,0,0,1,0,"small"
"125","3","4","9","5",94.3,85.1,692.3,15.9,19.8,50,5.4,0,0,"fall",3,0,0,1,0,"small"
"126","3","4","10","7",92.6,46.5,691.8,8.8,20.6,24,5.4,0,0,"fall",3,0,0,0,0,"small"
"127","3","5","3","1",87.6,52.2,103.8,5,9,49,2.2,0,0,"spring",1,0,0,0,0,"small"
"128","3","5","9","5",93.5,149.3,728.6,8.1,17.2,43,3.1,0,0,"fall",3,0,0,1,0,"small"
"129","3","5","10","3",91.4,37.9,673.8,5.2,15.9,46,3.6,0,0,"fall",3,0,0,0,0,"small"
"130","2","5","10","7",92.6,46.5,691.8,8.8,15.4,35,0.9,0,0,"fall",3,0,0,0,0,"small"
"131","4","6","2","6",68.2,21.5,87.2,0.8,15.4,40,2.7,0,0,"winter",4,0,0,0,0,"small"
"132","4","6","3","1",87.2,23.9,64.7,4.1,14,39,3.1,0,0,"spring",1,0,0,0,0,"small"
"133","4","6","3","7",89.3,51.3,102.2,9.6,10.6,46,4.9,0,0,"spring",1,0,0,0,0,"small"
"134","4","6","9","4",93.7,80.9,685.2,17.9,17.6,42,3.1,0,0,"fall",3,0,0,1,0,"small"
"135","3","5","3","2",88.1,25.7,67.6,3.8,14.9,38,2.7,0,0,"spring",1,0,0,0,0,"small"
"136","3","5","8","6",93.5,139.4,594.2,20.3,17.6,52,5.8,0,0,"summer",2,0,0,1,0,"small"
"137","3","6","9","7",92.4,124.1,680.7,8.5,17.2,58,1.3,0,0,"fall",3,0,0,1,0,"small"
"138","3","6","9","1",90.9,126.5,686.5,7,15.6,66,3.1,0,0,"fall",3,0,0,1,0,"small"
"139","9","9","7","2",85.8,48.3,313.4,3.9,18,42,2.7,0,0.36,"summer",2,0.307484699747961,0,1,0,"large"
"140","1","4","9","2",91,129.5,692.6,7,21.7,38,2.2,0,0.43,"fall",3,0.357674444271816,0,1,0,"large"
"141","2","5","9","1",90.9,126.5,686.5,7,21.9,39,1.8,0,0.47,"fall",3,0.385262400790645,0,1,0,"large"
"142","1","2","8","3",95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55,"summer",2,0.438254930931155,0,1,0,"large"
"143","8","6","8","5",90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,"summer",2,0.476234178996372,0,1,0,"large"
"144","1","2","7","6",90,51.3,296.3,8.7,16.6,53,5.4,0,0.71,"summer",2,0.536493370514568,0,1,0,"large"
"145","2","5","8","3",95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,"summer",2,0.570979546585738,0,1,0,"large"
"146","6","5","8","4",95.2,131.7,578.8,10.4,27.4,22,4,0,0.9,"summer",2,0.641853886172395,0,1,0,"large"
"147","5","4","3","1",90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95,"spring",1,0.667829372575655,0,0,0,"large"
"148","8","3","9","2",84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,"fall",3,0.672944473242426,0,1,0,"large"
"149","2","2","8","2",94.8,108.3,647.1,17,17.4,43,6.7,0,1.07,"summer",2,0.727548607277278,0,1,0,"large"
"150","8","6","9","4",93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12,"fall",3,0.751416088683921,0,1,0,"large"
"151","6","5","6","5",92.5,56.4,433.3,7.1,23.2,39,5.4,0,1.19,"summer",2,0.783901543828409,0,0,0,"large"
"152","9","9","7","7",90.1,68.6,355.2,7.2,24.8,29,2.2,0,1.36,"summer",2,0.858661619037519,0,1,0,"large"
"153","3","4","7","6",90.1,51.2,424.1,6.2,24.6,43,1.8,0,1.43,"summer",2,0.887891257352457,0,1,0,"large"
"154","5","4","9","5",94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46,"fall",3,0.900161349944271,0,1,0,"large"
"155","1","5","9","6",93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,"fall",3,0.900161349944271,0,1,0,"large"
"156","7","4","8","7",94.8,108.3,647.1,17,16.4,47,1.3,0,1.56,"summer",2,0.940007258491471,0,1,0,"large"
"157","2","4","9","6",93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,"fall",3,0.959350221334602,0,1,0,"large"
"158","2","2","8","3",92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63,"summer",2,0.966983846189673,0,1,0,"large"
"159","2","4","8","3",92.1,111.2,654.1,9.6,20.5,35,4,0,1.64,"summer",2,0.970778917158225,0,1,0,"large"
"160","7","4","9","5",92.4,117.9,668,12.2,19,34,5.8,0,1.69,"fall",3,0.989541193613748,0,1,0,"large"
"161","7","4","3","1",90.1,39.7,86.6,6.2,16.1,29,3.1,0,1.75,"spring",1,1.01160091167848,0,0,0,"large"
"162","6","4","8","4",95.2,131.7,578.8,10.4,20.3,41,4,0,1.9,"summer",2,1.06471073699243,0,1,0,"large"
"163","6","3","3","6",90.6,50.1,100.4,7.8,15.2,31,8.5,0,1.94,"spring",1,1.07840958135059,0,0,0,"large"
"164","8","6","9","6",92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95,"fall",3,1.08180517035173,0,1,0,"large"
"165","8","5","9","7",89.7,90,704.4,4.8,17.8,67,2.2,0,2.01,"fall",3,1.10194007876078,0,1,0,"large"
"166","6","5","3","4",84.9,18.2,55,3,5.3,70,4.5,0,2.14,"spring",1,1.14422279992016,0,0,0,"large"
"167","6","5","8","3",92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29,"summer",2,1.19088756477728,0,1,0,"large"
"168","6","5","8","3",96,127.1,570.5,16.5,23.4,33,4.5,0,2.51,"summer",2,1.25561603747777,0,1,0,"large"
"169","6","5","3","5",91.2,48.3,97.8,12.5,14.6,26,9.4,0,2.53,"spring",1,1.26129787094521,0,0,0,"large"
"170","8","6","8","4",95.2,131.7,578.8,10.4,20.7,45,2.2,0,2.55,"summer",2,1.26694760348732,0,1,0,"large"
"171","5","4","9","3",92.9,133.3,699.6,9.2,21.9,35,1.8,0,2.57,"fall",3,1.27256559579155,0,1,0,"large"
"172","8","6","8","3",85.6,90.4,609.6,6.6,17.4,50,4,0,2.69,"summer",2,1.30562645805244,0,1,0,"large"
"173","7","4","8","7",91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74,"summer",2,1.31908561142644,0,1,0,"large"
"174","4","4","9","1",90.9,126.5,686.5,7,17.7,39,2.2,0,3.07,"fall",3,1.4036429994545,0,1,0,"large"
"175","1","4","8","6",90.2,96.9,624.2,8.9,14.2,53,1.8,0,3.5,"summer",2,1.50407739677627,0,1,0,"large"
"176","1","4","8","6",90.2,96.9,624.2,8.9,20.3,39,4.9,0,4.53,"summer",2,1.71018781553424,0,1,0,"large"
"177","6","5","4","4",81.5,9.1,55.2,2.7,5.8,54,5.8,0,4.61,"spring",1,1.72455071953461,0,0,0,"large"
"178","2","5","8","7",90.2,99.6,631.2,6.3,19.2,44,2.7,0,4.69,"summer",2,1.73871024813824,0,1,0,"large"
"179","2","5","9","3",90.1,82.9,735.7,6.2,18.3,45,2.2,0,4.88,"fall",3,1.77155676191054,0,1,0,"large"
"180","8","6","8","2",88.8,147.3,614.5,9,14.4,66,5.4,0,5.23,"summer",2,1.82937633279936,0,1,0,"large"
"181","1","3","9","7",92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33,"fall",3,1.84530023615608,0,1,0,"large"
"182","8","6","10","1",84.9,32.8,664.2,3,19.1,32,4,0,5.44,"fall",3,1.86252854011626,0,0,0,"large"
"183","5","4","2","7",86.8,15.6,48.3,3.9,12.4,53,2.2,0,6.38,"winter",4,1.99877363861238,0,0,0,"large"
"184","7","4","10","1",91.7,48.5,696.1,11.1,16.8,45,4.5,0,6.83,"fall",3,2.05796251000271,0,0,0,"large"
"185","8","6","8","5",93.9,135.7,586.7,15.1,20.8,34,4.9,0,6.96,"summer",2,2.07442899985629,0,1,0,"large"
"186","2","5","9","2",91,129.5,692.6,7,17.6,46,3.1,0,7.04,"fall",3,2.08442908319087,0,1,0,"large"
"187","8","6","3","7",89.3,51.3,102.2,9.6,11.5,39,5.8,0,7.19,"spring",1,2.10291389786498,0,0,0,"large"
"188","1","5","9","1",90.9,126.5,686.5,7,21,42,2.2,0,7.3,"fall",3,2.11625551480255,0,1,0,"large"
"189","6","4","3","6",90.8,41.9,89.4,7.9,13.3,42,0.9,0,7.4,"spring",1,2.12823170584927,0,0,0,"large"
"190","7","4","3","7",90.7,44,92.4,5.5,11.5,60,4,0,8.24,"spring",1,2.22354188565359,0,0,0,"large"
"191","6","5","3","5",91.2,48.3,97.8,12.5,11.7,33,4,0,8.31,"spring",1,2.23108909128898,0,0,0,"large"
"192","2","5","8","4",95.2,131.7,578.8,10.4,24.2,28,2.7,0,8.68,"summer",2,2.27006190128849,0,1,0,"large"
"193","2","2","8","2",94.8,108.3,647.1,17,24.6,22,4.5,0,8.71,"summer",2,2.27315628230323,0,1,0,"large"
"194","4","5","9","3",92.9,133.3,699.6,9.2,24.3,25,4,0,9.41,"fall",3,2.34276688262688,0,1,0,"large"
"195","2","2","8","2",94.8,108.3,647.1,17,24.6,22,4.5,0,10.01,"summer",2,2.39880395073459,0,1,0,"large"
"196","2","5","8","5",93.9,135.7,586.7,15.1,23.5,36,5.4,0,10.02,"summer",2,2.39971180372477,0,1,0,"large"
"197","6","5","4","4",81.5,9.1,55.2,2.7,5.8,54,5.8,0,10.93,"spring",1,2.47905623610982,0,0,0,"large"
"198","4","5","9","4",92.9,137,706.4,9.2,21.5,15,0.9,0,11.06,"fall",3,2.48989419129904,0,1,0,"large"
"199","3","4","9","2",91,129.5,692.6,7,13.9,59,6.3,0,11.24,"fall",3,2.50470927708418,0,1,0,"large"
"200","2","4","9","1",63.5,70.8,665.3,0.8,22.6,38,3.6,0,11.32,"fall",3,2.51122395810537,0,1,0,"large"
"201","1","5","9","2",91,129.5,692.6,7,21.6,33,2.2,0,11.53,"fall",3,2.52812576890798,0,1,0,"large"
"202","6","5","3","7",90.1,37.6,83.7,7.2,12.4,54,3.6,0,12.1,"spring",1,2.57261223020711,0,0,0,"large"
"203","7","4","2","7",83.9,8.7,32.1,2.1,8.8,68,2.2,0,13.05,"winter",4,2.64262239577975,0,0,0,"large"
"204","8","6","10","3",91.4,37.9,673.8,5.2,20.2,37,2.7,0,13.7,"fall",3,2.68784749378469,0,0,0,"large"
"205","5","6","3","6",90.6,50.1,100.4,7.8,15.1,64,4,0,13.99,"spring",1,2.70738331211451,0,0,1,"large"
"206","4","5","9","4",92.9,137,706.4,9.2,22.1,34,1.8,0,14.57,"fall",3,2.74534598584591,0,1,0,"large"
"207","2","2","8","6",93.5,139.4,594.2,20.3,22.9,31,7.2,0,15.45,"summer",2,2.80032547721138,0,1,0,"large"
"208","7","5","9","2",91,129.5,692.6,7,20.7,37,2.2,0,17.2,"fall",3,2.90142159408275,0,1,0,"large"
"209","6","5","9","5",92.4,117.9,668,12.2,19.6,33,6.3,0,19.23,"fall",3,3.00716665117965,0,1,0,"large"
"210","8","3","9","4",93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41,"fall",3,3.19499288440487,0,1,0,"large"
"211","4","4","10","6",90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23,"fall",3,3.22803376265297,0,0,0,"large"
"212","7","4","8","6",93.5,139.4,594.2,20.3,5.1,96,5.8,0,26,"summer",2,3.29583686600433,0,1,0,"large"
"213","7","4","9","5",94.3,85.1,692.3,15.9,20.1,47,4.9,0,26.13,"fall",3,3.30064012667084,0,1,0,"large"
"214","7","3","3","1",87.6,52.2,103.8,5,11,46,5.8,0,27.35,"spring",1,3.34462703017376,0,0,0,"large"
"215","4","4","3","6",91.7,35.8,80.8,7.8,17,27,4.9,0,28.66,"spring",1,3.38979933670979,0,0,0,"large"
"216","4","4","3","6",91.7,35.8,80.8,7.8,17,27,4.9,0,28.66,"spring",1,3.38979933670979,0,0,0,"large"
"217","4","4","9","7",92.4,124.1,680.7,8.5,16.9,60,1.3,0,29.48,"fall",3,3.41707073081845,0,1,0,"large"
"218","1","3","9","1",88.6,91.8,709.9,7.1,12.4,73,6.3,0,30.32,"fall",3,3.4442568711226,0,1,0,"large"
"219","4","5","9","3",92.9,133.3,699.6,9.2,19.4,19,1.3,0,31.72,"fall",3,3.48798651173455,0,1,0,"large"
"220","6","5","3","1",90.1,39.7,86.6,6.2,15.2,27,3.1,0,31.86,"spring",1,3.49225611260912,0,0,0,"large"
"221","8","6","8","7",90.2,99.6,631.2,6.3,16.2,59,3.1,0,32.07,"summer",2,3.4986265269937,0,1,0,"large"
"222","3","4","9","5",93.3,141.2,713.9,13.9,18.6,49,3.6,0,35.88,"fall",3,3.60766939868839,0,1,0,"large"
"223","4","3","3","1",87.6,52.2,103.8,5,11,46,5.8,0,36.85,"spring",1,3.63363097988346,0,0,0,"large"
"224","2","2","7","5",88.3,150.3,309.9,6.8,13.4,79,3.6,0,37.02,"summer",2,3.63811233706028,0,1,0,"large"
"225","7","4","9","3",90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71,"fall",3,3.65609796458956,0,1,0,"large"
"226","4","4","9","7",93.5,149.3,728.6,8.1,22.9,39,4.9,0,48.55,"fall",3,3.902982260776,0,1,0,"large"
"227","7","5","10","1",91.7,48.5,696.1,11.1,16.1,44,4,0,49.37,"fall",3,3.91939575975756,0,0,0,"large"
